pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, Threads, Virtual Memory, Physical Memory, Cores, Number of Lines
pc6/520Proj4/proj4/3-way-openmp/slurm-3458997.out:DATA, 4, 6417320, 6188328, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458857.out:DATA, 2, 1629184, 1547632, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458848.out:DATA, 1, 3102296, 3094500, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459209.out:DATA, 4, 4870348, 4641444, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458863.out:DATA, 2, 4722872, 4641380, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459201.out:DATA, 2, 6269844, 6188260, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458856.out:DATA, 1, 6195984, 6188168, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459141.out:DATA, 4, 6417316, 6188296, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458886.out:DATA, 8, 3618456, 3094624, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459073.out:DATA, 8, 3618460, 3094600, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459128.out:DATA, 2, 6269844, 6187512, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459033.out:DATA, 32, 6495240, 6189024, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458897.out:DATA, 1, 4649136, 4641352, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459180.out:DATA, 1, 1555452, 1547604, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458916.out:DATA, 4, 1776668, 1547660, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459169.out:DATA, 32, 4390944, 3094932, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458973.out:DATA, 1, 6195980, 6188232, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458888.out:DATA, 8, 5165312, 4641484, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459231.out:DATA, 16, 3247028, 3094824, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458914.out:DATA, 4, 1776668, 1547692, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458968.out:DATA, 1, 4649136, 4641388, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459215.out:DATA, 8, 1622992, 1547784, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459004.out:DATA, 8, 5165312, 4641484, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458875.out:DATA, 4, 4870352, 4641412, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459187.out:DATA, 1, 6195984, 6188236, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459217.out:DATA, 8, 3618460, 3094628, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459230.out:DATA, 16, 3247028, 3094852, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459207.out:DATA, 4, 3323504, 3094592, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459061.out:DATA, 4, 3323500, 3094576, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459161.out:DATA, 16, 5755164, 4641708, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459232.out:DATA, 16, 5755168, 4641700, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459074.out:DATA, 8, 3618464, 3094596, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458849.out:DATA, 1, 3102296, 3094480, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459068.out:DATA, 4, 6417316, 6188312, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459137.out:DATA, 4, 4870344, 4641452, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459069.out:DATA, 4, 6417316, 6188324, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458949.out:DATA, 16, 7302180, 6188512, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458901.out:DATA, 1, 6195984, 6188260, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459151.out:DATA, 8, 6712260, 6188368, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459177.out:DATA, 32, 6495232, 6188988, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459038.out:DATA, 1, 3102296, 3094480, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459110.out:DATA, 1, 3102292, 3094488, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459009.out:DATA, 8, 6712260, 6188400, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459140.out:DATA, 4, 6417324, 6188296, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459039.out:DATA, 1, 3102292, 3094476, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459134.out:DATA, 4, 3323500, 3094544, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459185.out:DATA, 1, 4649136, 4641352, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458920.out:DATA, 4, 4870352, 4641412, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458918.out:DATA, 4, 3323504, 3094580, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459067.out:DATA, 4, 6417320, 6188324, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458982.out:DATA, 2, 4722868, 4641036, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459045.out:DATA, 1, 6195980, 6188256, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458996.out:DATA, 4, 6417320, 6188328, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458847.out:DATA, 1, 1555452, 1547612, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459228.out:DATA, 16, 2178988, 1547868, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459197.out:DATA, 2, 4722868, 4641408, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459050.out:DATA, 2, 3176028, 3094508, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459126.out:DATA, 2, 4722872, 4641384, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459075.out:DATA, 8, 3618460, 3094628, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459005.out:DATA, 8, 5165312, 4641516, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459248.out:DATA, 32, 6495236, 6189020, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459064.out:DATA, 4, 4870352, 4641432, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459097.out:DATA, 32, 4390940, 3095060, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459176.out:DATA, 32, 6495236, 6188960, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458940.out:DATA, 16, 2178988, 1547832, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459181.out:DATA, 1, 3102292, 3094512, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458974.out:DATA, 2, 1629192, 1547632, 2, 250000
