pc6/520Proj4/proj4/3-way-openmp/slurm-3458927.out:Total time to run: 2505372.074000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459109.out:Total time to run: 4441724.794000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458979.out:Total time to run: 2509630.026000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458908.out:Total time to run: 6895128.730000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459051.out:Total time to run: 2413886.031000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459164.out:Total time to run: 1412670.460000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459086.out:Total time to run: 1208932.096000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459117.out:Total time to run: 8894038.380000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459090.out:Total time to run: 1829691.916000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458999.out:Total time to run: 1257621.112000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459175.out:Total time to run: 1259621.764000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459037.out:Total time to run: 4644133.250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459194.out:Total time to run: 2292164.864000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459242.out:Total time to run: 318799.804000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458896.out:Total time to run: 7265646.543000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458923.out:Total time to run: 9939916.972000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458884.out:Total time to run: 4937562.549000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459080.out:Total time to run: 2750852.897000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458887.out:Total time to run: 7236716.123000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458937.out:Total time to run: 9565114.194000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459107.out:Total time to run: 2299301.463000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458862.out:Total time to run: 5006505.956000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459205.out:Total time to run: 1160594.642000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459127.out:Total time to run: 4619044.645000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458971.out:Total time to run: 9551468.241000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459108.out:Total time to run: 2353952.567000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459099.out:Total time to run: 1208546.173000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458988.out:Total time to run: 1257679.891000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459048.out:Total time to run: 1211187.831000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459189.out:Total time to run: 8920170.165000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459182.out:Total time to run: 4848926.164000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459019.out:Total time to run: 5013025.901000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459221.out:Total time to run: 917938.787000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459092.out:Total time to run: 2427405.765000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459077.out:Total time to run: 1822930.697000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458858.out:Total time to run: 2505227.590000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458909.out:Total time to run: 6894781.514000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458903.out:Total time to run: 2504980.826000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459114.out:Total time to run: 6962213.588000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459046.out:Total time to run: 1209385.130000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459112.out:Total time to run: 6655427.733000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458961.out:Total time to run: 9455067.164000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458898.out:Total time to run: 6904018.560000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459236.out:Total time to run: 633941.283000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458917.out:Total time to run: 4935146.546000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459098.out:Total time to run: 1317328.417000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459241.out:Total time to run: 317551.086000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458912.out:Total time to run: 9866057.844000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458899.out:Total time to run: 9191650.827000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458989.out:Total time to run: 2473251.879000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458892.out:Total time to run: 2503051.125000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459171.out:Total time to run: 630524.534000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459008.out:Total time to run: 4931659.584000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459012.out:Total time to run: 1223060.606000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459170.out:Total time to run: 628702.326000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458938.out:Total time to run: 2505942.860000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459121.out:Total time to run: 2305954.652000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459113.out:Total time to run: 6570310.497000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459183.out:Total time to run: 4440726.343000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458895.out:Total time to run: 4960438.133000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459225.out:Total time to run: 1223658.353000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459190.out:Total time to run: 1186565.252000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459065.out:Total time to run: 1818572.704000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459040.out:Total time to run: 6883515.939000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458962.out:Total time to run: 2315124.258000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459093.out:Total time to run: 2421610.934000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459041.out:Total time to run: 6890315.601000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459021.out:Total time to run: 5011489.467000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458964.out:Total time to run: 2315811.436000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459013.out:Total time to run: 2514460.201000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458900.out:Total time to run: 9736067.737000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459052.out:Total time to run: 3592512.492000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459136.out:Total time to run: 1826143.067000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458966.out:Total time to run: 4867516.446000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458970.out:Total time to run: 7311175.254000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458905.out:Total time to run: 4953445.706000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459125.out:Total time to run: 3457006.663000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459133.out:Total time to run: 1227570.089000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458860.out:Total time to run: 5010834.714000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459184.out:Total time to run: 6662238.480000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458995.out:Total time to run: 5012571.611000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458824.out:Total time to run: 460007.487000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459178.out:Total time to run: 2212731.155000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458998.out:Total time to run: 1255731.834000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459070.out:Total time to run: 606926.235000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458929.out:Total time to run: 4490486.558000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459229.out:Total time to run: 318453.020000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458955.out:Total time to run: 5008049.982000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459220.out:Total time to run: 916979.529000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459196.out:Total time to run: 3311513.597000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458868.out:Total time to run: 9006649.220000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458915.out:Total time to run: 2505322.380000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459195.out:Total time to run: 2191668.350000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458924.out:Total time to run: 9942663.090000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459025.out:Total time to run: 2472807.207000
